,Player,Rk,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Column1,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary,Offensive Archetype,Pos,LEBRON,O-LEBRON,D-LEBRON,Wins Added,BOXLEBRON,BOXOLEBRON,BOXDLEBRON
238,Khem Birch,46.0,28.0,37,757,14.66666666666667,0.5459999999999999,0.12200000000000001,0.37800000000000006,11.833333333333334,14.800000000000002,13.233333333333333,7.3,1.5,3.766666666666667,9.266666666666666,12.700000000000001,,1.0666666666666667,0.7333333333333334,1.8,0.118,-1.3333333333333333,-0.26666666666666666,-1.5999999999999996,0.03333333333333333,3425463.0,Roll + Cut Big,C,-2.17,-2.05,-0.12,0.1,-1.66,-1.78,0.12
239,Khris Middleton,333.0,29.0,57,1894,18.2,0.589,0.332,0.219,2.7,15.6,9.4,23.5,1.6,0.4,13.6,24.8,,3.5,2.0,5.5,0.14,2.1,-0.6,1.5,1.7,33051724.0,Shot Creator,SF,1.58,1.32,0.26,4.7,2.08,1.82,0.25
240,Killian Hayes,207.0,19.0,16,364,4.7,0.406,0.327,0.08,1.2,9.3,5.2,27.9,2.0,1.4,27.3,19.2,,-1.0,0.3,-0.7,-0.094,-6.5,-1.0,-7.5,-0.5,5307120.0,Secondary Ball Handler,PG,-2.28,-1.8,-0.48,0.0,-1.83,-1.77,-0.06
241,Kristaps Porzingis,402.0,25.0,39,1224,21.5,0.579,0.382,0.211,7.0,25.0,16.1,8.7,0.8,4.3,6.9,26.8,,2.3,1.6,3.9,0.152,2.7,-0.7,2.1,1.3,29467800.0,Versatile Big,C,2.0,1.68,0.32,3.3,2.61,2.04,0.57
242,Kyle Anderson,11.0,27.0,56,1535,17.0,0.566,0.4,0.269,3.0,20.6,11.6,17.9,2.2,2.8,10.3,18.5,,2.1,2.2,4.4,0.137,1.1,1.7,2.8,1.8,9505100.0,Secondary Ball Handler,PF,1.76,0.26,1.5,3.9,2.24,0.47,1.77
243,Kyle Kuzma,275.0,25.0,57,1622,12.5,0.536,0.502,0.124,6.9,18.0,12.6,9.1,0.9,1.8,12.8,21.0,,0.0,2.5,2.5,0.073,-0.6,-0.7,-1.3,0.3,3562178.0,Movement Shooter,SF,-1.36,-1.18,-0.18,1.0,-0.42,-0.6,0.17
244,Kyle Lowry,295.0,34.0,42,1457,15.8,0.582,0.546,0.276,2.4,15.5,8.8,31.3,1.4,0.8,16.4,21.3,,2.3,1.2,3.5,0.117,1.3,-0.8,0.6,0.9,30000000.0,Primary Ball Handler,PG,0.38,0.18,0.2,2.5,0.96,1.19,-0.23
245,Kyrie Irving,237.0,28.0,44,1550,24.5,0.61,0.338,0.206,3.5,11.8,7.8,30.0,1.9,1.5,10.1,30.5,,4.9,1.3,6.2,0.191,5.6,-0.6,5.0,2.7,33329100.0,Shot Creator,PG,3.42,4.36,-0.93,5.5,3.47,4.33,-0.86
246,LaMarcus Aldridge,5.0,35.0,17,449,16.366666666666667,0.5706666666666665,0.22533333333333339,0.17200000000000001,2.6666666666666665,16.366666666666667,9.633333333333333,11.899999999999999,0.8666666666666666,4.666666666666667,8.9,21.633333333333336,,0.3333333333333333,0.5000000000000001,0.8000000000000002,0.09966666666666668,-0.19999999999999998,0.16666666666666666,-0.03333333333333329,0.13333333333333333,19078340.0,Versatile Big,C,-0.72,-0.59,-0.13,0.7,-0.33,-0.24,-0.09
247,LaMarcus Aldridge,5.0,35.0,17,449,16.366666666666667,0.5706666666666665,0.22533333333333339,0.17200000000000001,2.6666666666666665,16.366666666666667,9.633333333333333,11.899999999999999,0.8666666666666666,4.666666666666667,8.9,21.633333333333336,,0.3333333333333333,0.5000000000000001,0.8000000000000002,0.09966666666666668,-0.19999999999999998,0.16666666666666666,-0.03333333333333329,0.13333333333333333,19078340.0,Versatile Big,C,-0.72,-0.59,-0.13,0.7,-0.33,-0.24,-0.09
248,LaMelo Ball,26.0,19.0,41,1174,18.6,0.562,0.411,0.234,5.0,17.5,11.1,34.1,2.7,1.2,16.5,25.5,,1.4,1.5,2.9,0.118,1.9,0.8,2.7,1.4,7839960.0,Primary Ball Handler,PG,-0.28,0.33,-0.61,1.6,0.95,1.13,-0.18
249,Landry Shamet,441.0,23.0,49,1072,10.7,0.584,0.728,0.172,1.0,7.8,4.5,8.9,1.1,0.4,9.4,17.7,,1.0,0.5,1.4,0.064,-0.9,-1.6,-2.5,-0.1,2090040.0,Movement Shooter,SG,-1.61,0.02,-1.64,0.4,-0.9,0.52,-1.42
250,Langston Galloway,164.0,29.0,35,381,12.5,0.629,0.582,0.139,1.5,8.7,5.2,8.6,1.0,0.0,8.5,16.5,,0.6,0.3,0.9,0.113,0.3,-0.6,-0.3,0.2,2028594.0,Stationary Shooter,SG,-1.75,-0.65,-1.1,0.1,-2.13,-0.7,-1.43
251,Lauri Markkanen,305.0,23.0,40,1072,15.2,0.616,0.553,0.183,3.0,19.0,11.1,5.0,0.8,1.0,8.3,20.5,,1.4,0.9,2.3,0.104,1.4,-1.6,-0.2,0.5,6731508.0,Stretch Big,PF,-0.59,-0.01,-0.58,1.1,0.01,0.36,-0.35
252,LeBron James,245.0,36.0,41,1388,24.6,0.605,0.352,0.316,2.0,23.8,13.0,41.7,1.5,1.5,15.0,31.8,,3.0,2.5,5.5,0.19,6.1,1.7,7.8,3.4,39219565.0,Shot Creator,PG,5.28,3.93,1.35,6.9,4.22,3.24,0.97
253,Lonzo Ball,27.0,23.0,46,1432,15.3,0.558,0.651,0.086,1.9,12.6,7.3,25.3,2.2,1.7,13.9,19.9,,1.6,1.1,2.8,0.092,1.5,0.0,1.5,1.3,11003782.0,Primary Ball Handler,PG,1.36,1.59,-0.23,3.3,1.49,1.29,0.2
254,Lou Williams,511.0,34.0,37,815,14.200000000000001,0.5223333333333333,0.26033333333333336,0.25733333333333336,1.5666666666666664,7.4333333333333345,4.566666666666666,22.099999999999998,1.7,0.3666666666666667,12.266666666666666,25.8,,0.4666666666666666,0.6666666666666666,1.133333333333333,0.05733333333333335,-1.0999999999999999,-1.8999999999999997,-2.966666666666667,-0.13333333333333333,8000000.0,Slasher,PG,-1.43,0.07,-1.51,0.7,-0.32,0.69,-1.0
