,Player,TRB,AST,STL,BLK,PTS
309,Kyrie Irving,5,6.4,1.3,0.6,26.9
478,KZ Okpala,1.9,0.5,0.3,0.3,2.4
589,Lamar Stevens,2.4,0.6,0.4,0.3,4.1
4,LaMarcus Aldridge,4.5,1.9,0.4,1.1,13.5
5,LaMarcus Aldridge,4.5,1.7,0.4,0.9,13.7
6,LaMarcus Aldridge,4.8,2.6,0.6,2.2,12.8
33,LaMelo Ball,5.9,6.1,1.6,0.3,15.9
570,Landry Shamet,1.8,1.5,0.5,0.1,9.4
212,Langston Galloway,1,0.7,0.2,0,4.7
458,Larry Nance,6.7,3.1,1.7,0.5,9.3
402,Lauri Markkanen,5.2,0.9,0.5,0.3,14.3
319,LeBron James,7.9,7.9,1,0.6,25.4
643,Lonnie Walker,2.5,1.6,0.5,0.3,10.7
34,Lonzo Ball,4.2,5.7,1.4,0.6,14.1
662,Lou Williams,2,3.4,0.8,0.1,12.2
663,Lou Williams,2.1,3.4,0.9,0.1,12.1
664,Lou Williams,1.6,3.4,0.5,0.1,12.3
166,Luguentz Dort,3.7,1.6,0.9,0.4,14.2
563,Luka Samanic,2,0.5,0.3,0.2,3.3
165,Luka Doncic,7.9,8.7,1,0.6,28.6
354,Luke Kennard,2.7,1.7,0.4,0.2,8.4
360,Luke Kornet,2,0.7,0.1,0.8,3
361,Luke Kornet,1.2,0.3,0.2,0.5,2
362,Luke Kornet,2.8,1.2,0,1.2,4.2
197,Malachi Flynn,2.1,2.6,0.8,0.1,6.1
86,Malcolm Brogdon,5.3,5.9,0.9,0.3,21.5
46,Malik Beasley,4.4,2.4,0.8,0.2,19.6
196,Malik Fitts,1,0,0,0,1
443,Malik Monk,2.7,1.9,0.5,0.1,13.1
156,Mamadi Diakite,2.3,0.5,0.3,0.4,2.6
214,Marc Gasol,4.1,2.1,0.5,1.2,5.3
447,Marcus Morris,4.2,1,0.6,0.3,13.6
580,Marcus Smart,3.3,5.5,1.5,0.5,13.6
206,Markelle Fultz,3.1,5.4,1,0.3,12.9
448,Markieff Morris,4.5,1.2,0.4,0.3,7.2
297,Markus Howard,0.4,0.4,0.1,0,1.1
66,Marques Bolden,1,0,0.3,0.3,1.2
119,Marquese Chriss,6.5,1,0,1,6.5
32,Marvin Bagley,7.4,0.9,0.5,0.5,13.9
340,Mason Jones,1.7,1.3,0.2,0,5.3
341,Mason Jones,2,1.5,0.2,0,5.8
342,Mason Jones,0.7,0.5,0.2,0,2.7
507,Mason Plumlee,9.3,3.6,0.8,0.9,10.3
612,Matisse Thybulle,2,0.9,1.6,1,3.8
607,Matt Thomas,0.9,0.4,0.1,0,2.7
608,Matt Thomas,0.8,0.3,0.1,0,2.7
609,Matt Thomas,1.2,0.6,0.1,0,2.6
154,Matthew Dellavedova,1.8,4.5,0.3,0.1,2.8
254,Maurice Harkless,2.1,0.9,0.7,0.5,4.5
255,Maurice Harkless,1.2,0.6,0.2,0.4,1.4
256,Maurice Harkless,2.7,1.1,1.1,0.6,6.6
591,Max Strus,0.9,0.5,0.2,0,5.5
355,Maxi Kleber,5.3,1.4,0.5,0.7,7.1
381,Meyers Leonard,2.3,0.7,0,0,3.3
349,Mfiondu Kabengele,0.7,0.3,0.1,0.1,1.3
350,Mfiondu Kabengele,0.6,0.2,0.1,0.1,1.2
351,Mfiondu Kabengele,1,0.4,0.4,0.2,1.8
115,Michael Carter-Williams,4.5,4.2,0.8,0.5,8.8
514,Michael Porter,7.6,1,0.6,1,18.5
82,Mikal Bridges,4.4,2.2,1,0.8,13.1
128,Mike Conley,3.4,6,1.4,0.2,16.4
320,Mike James,2,3.7,0.3,0,7
453,Mike Muscala,3.8,0.8,0.2,0.3,9.7
568,Mike Scott,2.6,0.7,0.5,0.2,4.4
83,Miles Bridges,6.1,2.1,0.7,0.8,12
550,Mitchell Robinson,8.1,0.5,1.1,1.5,8.3
486,Miye Oni,1.6,0.4,0.1,0.2,2
35,Mo Bamba,4.8,0.6,0.2,1,7.2
449,Monte Morris,2.2,3.2,0.7,0.3,10.3
258,Montrezl Harrell,6.6,1.1,0.7,0.7,14
