RK,PLAYER,TEAM,GP,MPG,FG%,FT%,3PM,RPG,APG,STPG,BLKPG,TOPG,PTS,ESPN
,"Patrick Williams, PF",CHI,60,28.1,0.479,0.758,0.8,4.7,1.4,0.9,0.7,1.4,9.1,17.4
,"Theo Maledon, PG",OKC,55,27.6,0.374,0.733,1.6,3.4,3.5,0.9,0.1,2.2,9.9,17.4
209,"Cam Reddish, SF",ATL,26,28.8,0.365,0.817,1.3,4,1.3,1.3,0.3,1.3,11.2,17.3
210,"Trevor Ariza, SF",MIA,21,27.4,0.396,0.767,1.6,4.6,1.8,0.8,0.6,0.6,8.7,17.1
,"Nickeil Alexander-Walker, SG",NOR,41,20.8,0.418,0.75,1.6,3.1,2,1,0.5,1.4,10.2,17.1
212,"Hassan Whiteside, C",SAC,36,15.2,0.563,0.519,0,6,0.6,0.3,1.3,1.1,8.1,16.9
,"Nerlens Noel, C",NYK,55,23.8,0.617,0.695,0,6.5,0.8,1,2.1,1.1,5.1,16.9
214,"David Nwaba, SF",HOU,30,22.6,0.486,0.691,0.6,3.9,1,1,0.7,0.6,9.2,16.8
215,"Cameron Johnson, SF",PHO,55,23.9,0.438,0.865,2.1,3.2,1.5,0.6,0.3,0.7,9.9,16.7
216,"Patrick Beverley, PG",LAC,31,23.4,0.432,0.805,1.7,3.6,2.1,0.8,0.8,0.9,8,16.6
217,"Taurean Prince, PF",CLE,41,22.1,0.401,0.855,1.5,3.5,1.9,0.7,0.6,1.1,9.5,16.5
,"Tony Bradley, C",OKC,35,16.3,0.661,0.707,0,5.7,0.8,0.4,0.7,0.8,7.1,16.5
,"Cedi Osman, SF",CLE,51,24.6,0.363,0.75,1.6,3.3,2.7,0.9,0.2,1.1,9.6,16.5
220,"Henry Ellenson, PF",TOR,2,19,0.357,0.75,1,6,2.5,0,0,0,7.5,16.4
221,"Kenrich Williams, SF",OKC,61,21.3,0.53,0.559,0.7,4.2,2.2,0.7,0.2,1.1,7.6,16.3
222,"James Ennis III, SF",ORL,39,24.3,0.475,0.815,1.1,4.1,1.5,0.8,0.2,0.8,8.6,16.2
