RK,PLAYER,TEAM,GP,MPG,FG%,FT%,3PM,RPG,APG,STPG,BLKPG,TOPG,PTS,ESPN
,"Amir Coffey, SG",LAC,43,9.2,0.437,0.711,0.5,1,0.5,0.2,0,0.3,3.3,5.2
449,"Norvel Pelle, PF",NYK,8,7.1,0.5,0.667,0,1.9,0.1,0.1,0.8,0.4,2,5
,"Kyle Guy, SG",SAC,24,7,0.369,0.846,0.4,1,0.9,0.2,0,0.3,2.9,5
451,"Josh Green, SG",DAL,29,10.3,0.435,0.6,0.1,1.9,0.5,0.3,0.1,0.5,2.2,4.9
,"Devontae Cacok, PF",LAL,17,5.2,0.63,0.444,0,1.8,0.1,0.3,0.2,0.3,2.2,4.9
453,"KZ Okpala, SF",MIA,31,12.5,0.341,0.3,0.4,1.9,0.5,0.3,0.3,0.4,2.4,4.8
,"Isaac Bonga, G",WAS,37,11.3,0.385,0.625,0.4,1.8,0.6,0.3,0.2,0.6,2.1,4.8
455,"Killian Tillie, C",MEM,14,8.7,0.31,0.8,0.4,1.2,0.3,0.4,0.5,0.1,2.6,4.7
,"Isaiah Joe, SG",PHI,33,9.2,0.32,0.75,0.8,0.9,0.5,0.2,0.1,0.2,3.2,4.7
457,"Tim Frazier, G",MEM,3,11,0.25,0,0,1.3,2.3,0.3,0,1,1.3,4.6
,"Wenyen Gabriel, PF",NOR,11,7.2,0.381,0.571,0.4,1.7,0.7,0.2,0.2,0.8,2.2,4.6
,"Grant Riller, PG",CHA,5,4.2,0.667,0,0.4,0,0.6,0.2,0,0.2,2.8,4.6
,"Gary Payton II, G",GSW,9,3,0.727,0.75,0.2,0.9,0,0.6,0.1,0.1,2.3,4.6
,"Brodric Thomas, SG",CLE,21,8.8,0.309,0.783,0.4,1,0.7,0.4,0.2,0.7,2.9,4.6
,"Vernon Carey Jr., C",CHA,15,6.3,0.5,0.889,0.1,1.4,0.1,0.1,0.3,0.3,2.5,4.6
463,"Andre Roberson, F",BKN,5,12.6,0.143,0.5,0.2,3,0.8,0.6,0.2,0.4,1.2,4.4
,"Justin Robinson, G",OKC,9,9.8,0.333,0.6,0.4,0.8,1,0.3,0,0.2,2.3,4.4
465,"Miye Oni, SG",UTH,44,9.1,0.353,0.833,0.6,1.6,0.4,0.1,0.2,0.3,2,4.3
466,"Keita Bates-Diop, SF",SAS,22,6.9,0.381,0.733,0.2,1.1,0.4,0.4,0.1,0.1,2.2,4.2
,"James Nunnally, F",NOR,4,6.3,0.5,0,0.8,1,0,0,0,0.3,2.8,4.2
468,"Bol Bol, C",DEN,27,4.7,0.511,0.643,0.3,0.7,0.3,0.1,0.4,0.4,2.4,4.1
,"Anthony Tolliver, F",PHI,4,14.3,0.111,1,0.3,2,0.5,0.8,0.5,0.8,1.5,4.1
470,"Kelan Martin, SG",IND,23,5.5,0.388,1,0.3,1.3,0.3,0.2,0.1,0.3,2.1,4
,"Sean McDermott, SG",MEM,17,9.2,0.394,1,0.3,1.1,0.2,0.1,0.2,0.2,2.3,4
,"CJ Elleby, SG",POR,21,7.3,0.388,0.636,0.3,1,0.2,0.3,0.1,0.1,2.4,4
473,"Josh Hall, SF",OKC,14,12.4,0.2,0.586,0.1,2,1.3,0,0,1.1,2.6,3.9
,"Matt Thomas, SG",UTH,35,7.5,0.358,0.857,0.6,0.9,0.4,0.1,0,0.3,2.7,3.9
475,"Cassius Winston, PG",WAS,18,5.1,0.419,0.833,0.4,0.5,0.6,0.1,0.1,0.1,2.2,3.8
,"Axel Toupane, SG",MIL,8,7.6,0.364,0.714,0.1,0.8,0.5,0.3,0.4,0,1.8,3.8
,"Ray Spalding, F",HOU,2,9.5,0.5,0,0,2,0,0,1,1.5,2,3.8
478,"Bruno Fernando, PF",ATL,28,6.5,0.429,0.667,0,2.3,0.3,0.1,0.1,0.7,1.3,3.7
479,"Jarrell Brantley, PF",UTH,21,4.5,0.455,1,0.3,1,0.3,0.1,0.1,0.1,1.9,3.6
480,"Rayjon Tucker, SG",PHI,12,4.1,0.455,0.857,0.2,0.8,0.4,0.2,0,0.3,2,3.5
,"Patrick McCaw, SF",TOR,5,6.6,1,1,0,0.6,0.8,0.4,0,0,1,3.5
482,"Rodions Kurucs, SF",MIL,21,6,0.344,0.75,0.3,1.1,0.5,0.4,0.2,0.6,1.5,3.4
483,"Tre Jones, PG",SAS,29,5.4,0.458,1,0.1,0.4,0.7,0.2,0,0.4,1.9,3.3
,"Alen Smailagic, PF",GSW,9,4.2,0.462,0.25,0.2,0.8,0.2,0.1,0.3,0,1.7,3.3
485,"Daniel Oturu, C",LAC,24,4.3,0.536,0.625,0,1.2,0.3,0,0.1,0.2,1.5,3.2
486,"Vlatko Cancar, SF",DEN,34,5.4,0.419,0.875,0.1,1.1,0.3,0.3,0.1,0.4,1.4,3
,"Jahmi'us Ramsey, SG",SAC,5,3.4,0.6,0,0.2,0.8,0.2,0,0.2,0.2,1.4,3
,"Shaquille Harrison, G",DEN,23,6.2,0.378,0.875,0,0.7,0.5,0.3,0,0.3,1.5,3
489,"Cristiano Felicio, PF",CHI,13,4.5,0.571,0.6,0,1.1,0.6,0.2,0,0.3,1.1,2.9
,"Jared Dudley, SF",LAL,11,6.9,0.286,0,0.2,1.7,0.5,0.1,0.1,0.2,0.5,2.9
,"Justin James, SG",SAC,26,5.8,0.429,0.417,0.2,0.4,0.6,0.1,0,0.2,1.8,2.9
492,"Juwan Morgan, SF",UTH,23,5,0.5,0.429,0.1,1,0.3,0.2,0,0.1,1.2,2.8
,"Trent Forrest, SG",UTH,19,5.7,0.4,1,0,0.4,1.1,0.2,0.1,0.4,0.9,2.8
494,"Elijah Hughes, SF",UTH,13,3.5,0.364,0.75,0.5,0.5,0.3,0.1,0.1,0.5,1.9,2.7
,"Robert Woodard II, SF",SAC,11,2.6,0.5,0.375,0.1,1,0,0,0.2,0.1,1.6,2.7
,"Karim Mane, SG",ORL,10,8.8,0.231,0.8,0.1,1.4,0.4,0,0.2,0.3,1.1,2.7
497,"Udoka Azubuike, C",UTH,12,4.1,0.571,0.667,0,1.1,0,0.1,0.3,0.3,1,2.5
,"Jontay Porter, PF",MEM,8,3.3,0.333,1,0.3,1.1,0.1,0.3,0,0.6,1.4,2.5
,"Adam Mokoka, SG",CHI,11,4.6,0.412,0,0.1,0.5,0.5,0.2,0.1,0.3,1.4,2.5
501,"Adam Mokoka, SG",CHI,11,4.6,0.412,0,0.1,0.5,0.5,0.2,0.1,0.3,1.4,2.5
500,"Marques Bolden, C",CLE,6,4.8,0.333,0.625,0,1,0,0.3,0.3,0.3,1.2,2.4
502,"Marques Bolden, C",CLE,6,4.8,0.333,0.625,0,1,0,0.3,0.3,0.3,1.2,2.4
,"Nate Hinton, SG",DAL,15,3.8,0.391,0.667,0.1,0.4,0.3,0.3,0.1,0.3,1.5,2.4
504,"Tyler Bey, SG",DAL,12,3.9,0.353,0.6,0.1,1.1,0.1,0,0.1,0.1,1.3,2.3
505,"Mfiondu Kabengele, F",CLE,28,4.5,0.3,0.875,0.2,0.7,0.3,0.1,0.1,0.3,1.3,2.2
,"Tyrell Terry, PG",DAL,11,5.1,0.313,0.333,0,0.5,0.5,0.5,0,0.2,1,2.2
507,"Devon Dotson, PG",CHI,6,3.7,0.429,0,0,0.5,0.3,0.2,0,0,1,2.1
,"Jalen Harris, SG",TOR,4,3.5,0.25,0,0.3,0.8,0.5,0.3,0,0.3,0.8,2.1
509,"Jalen Lecque, PG",IND,4,3,0.111,1,0,1.3,0.5,0,0,0,1.3,2
,"Jalen Smith, PF",PHO,21,4.2,0.367,0.333,0.1,0.9,0.1,0,0.1,0.2,1.2,2
,"Nate Darling, SG",CHA,6,4,0.286,1,0.3,0.2,0.2,0,0.2,0.2,1.5,2
,"Quinndary Weatherspoon, SG",SAS,17,4.5,0.375,0.875,0,0.4,0.3,0.4,0.1,0.5,1.1,2
,"Malik Fitts, F",LAC,3,3.7,0.333,0,0.3,1,0,0,0,0,1,2
514,"Cassius Stanley, SG",IND,18,2.9,0.32,0.857,0.1,0.7,0.1,0,0.1,0.1,1.3,1.9
,"Vincent Poirier, C",NYK,10,3.9,0.25,0.333,0,1.4,0.2,0,0.3,0.4,0.8,1.9
,"Sindarius Thornwell, G",NOR,14,5.2,0.333,0,0.2,0.4,0.3,0.4,0.1,0.3,1.2,1.9
,"Kostas Antetokounmpo, PF",LAL,14,3.8,0.3,0.462,0,1.4,0.1,0.1,0.3,0.7,0.9,1.9
518,"Deividas Sirvydis, SG",DET,15,2.7,0.294,0.75,0.3,0.5,0.1,0.1,0,0.2,1.1,1.6
519,"Markus Howard, PG",DEN,30,3.3,0.26,0.5,0.2,0.4,0.4,0.1,0,0.3,1.1,1.5
520,"Nick Richards, C",CHA,17,3.6,0.5,0.636,0,0.5,0.1,0,0,0.2,0.9,1.4
521,"Ty-Shon Alexander, SG",PHO,9,3.2,0.2,0.5,0.1,0.6,0.1,0,0.1,0.1,0.7,1
,"Iman Shumpert, G",BKN,2,5.5,0.25,0,0,0.5,0,0.5,0,0.5,1,1
523,"Brian Bowen II, SG",IND,6,2.5,0.25,1,0,0.5,0,0,0,0,0.5,0.8
,"Ignas Brazdeikis, F",PHI,5,3,0,1,0,0.8,0.2,0,0,0.2,0.4,0.8
525,"Cameron Reynolds, G",SAS,3,2,0.5,0,0,0,0,0,0,0,0.7,0.7
526,"Jaylen Adams, G",MIL,7,2.6,0.125,0,0,0.4,0.3,0,0,0,0.3,0.5
527,"Keljin Blevins, SF",POR,11,5.3,0.125,0,0,0.4,0.4,0.2,0,0.3,0.4,0.4
528,"Terrance Ferguson, SF",NYK,13,3.8,0.143,0,0,0.1,0.2,0.1,0,0.3,0.2,0
529,"Theo Pinson, SG",NYK,14,2.2,0.111,0,0,0.1,0.1,0,0,0.1,0.1,-0.1
,"Jared Harper, PG",NYK,4,2.3,0,1,0,0,0,0,0,0.5,0.5,-0.1
531,"Noah Vonleh, F",BKN,4,2.8,0,0,0,0.3,0.3,0,0,0.5,0,-0.4
,"Ashton Hagans, G",MIN,2,2,0,0,0,0,0,0,0,0.5,0,-0.4
533,"Greg Whittington, SF",DEN,4,3,0,0,0,0,0,0,0,0,0,-0.6
534,"Kris Dunn, PG",ATL,1,13,0,0,0,1,0,1,1,1,0,-1.3
535,"Will Magnay, PF",NOR,1,3,0,0,0,0,0,0,0,1,0,-1.5
536,"Anzejs Pasecniks, C",WAS,1,6,0,0,0,1,1,0,0,5,0,-1.9
